iter	Passed	Remaining
0	38	11614
1	78	11639
2	112	11130
3	138	10223
4	161	9509
5	183	9006
6	207	8667
7	229	8392
8	253	8183
9	275	7992
10	298	7840
11	321	7719
12	344	7615
13	368	7527
14	390	7427
15	413	7348
16	437	7276
17	459	7196
18	481	7122
19	504	7069
20	528	7015
21	550	6955
22	573	6903
23	596	6863
24	622	6844
25	646	6812
26	671	6788
27	697	6773
28	721	6743
29	745	6712
30	771	6696
31	796	6674
32	821	6647
33	879	6878
34	917	6944
35	939	6893
36	962	6844
37	985	6791
38	1008	6748
39	1031	6703
40	1053	6658
41	1076	6612
42	1098	6568
43	1121	6525
44	1144	6487
45	1167	6448
46	1190	6408
47	1212	6366
48	1236	6332
49	1259	6295
50	1281	6256
51	1303	6217
52	1328	6190
53	1350	6153
54	1373	6118
55	1395	6082
56	1419	6052
57	1442	6018
58	1464	5983
59	1487	5950
60	1510	5919
61	1534	5888
62	1560	5870
63	1592	5873
64	1623	5869
65	1654	5867
66	1686	5864
67	1717	5859
68	1749	5858
69	1781	5852
70	1813	5849
71	1844	5840
72	1872	5823
73	1904	5817
74	1929	5789
75	1952	5754
76	1974	5719
77	1997	5685
78	2020	5651
79	2042	5618
80	2065	5585
81	2089	5554
82	2111	5520
83	2133	5487
84	2157	5456
85	2179	5423
86	2202	5392
87	2225	5360
88	2249	5332
89	2271	5300
90	2295	5271
91	2318	5242
92	2341	5212
93	2369	5191
94	2392	5162
95	2414	5130
96	2437	5101
97	2460	5071
98	2482	5040
99	2505	5010
100	2527	4980
101	2550	4950
102	2574	4923
103	2597	4894
104	2619	4864
105	2642	4835
106	2664	4806
107	2689	4782
108	2712	4753
109	2737	4727
110	2760	4699
111	2783	4671
112	2805	4642
113	2828	4615
114	2851	4586
115	2873	4558
116	2897	4531
117	2919	4503
118	2944	4478
119	2966	4449
120	2989	4421
121	3011	4394
122	3034	4366
123	3057	4339
124	3080	4313
125	3103	4285
126	3126	4258
127	3149	4231
128	3172	4205
129	3194	4177
130	3217	4150
131	3240	4123
132	3263	4097
133	3286	4070
134	3308	4044
135	3331	4017
136	3355	3992
137	3377	3965
138	3401	3939
139	3424	3913
140	3446	3886
141	3470	3861
142	3492	3834
143	3516	3809
144	3539	3783
145	3562	3758
146	3586	3733
147	3609	3707
148	3632	3680
149	3656	3656
150	3678	3629
151	3701	3603
152	3723	3577
153	3747	3552
154	3772	3528
155	3794	3503
156	3817	3476
157	3840	3451
158	3863	3425
159	3886	3400
160	3909	3374
161	3932	3350
162	3956	3325
163	3980	3300
164	4002	3274
165	4025	3249
166	4048	3224
167	4071	3198
168	4093	3172
169	4118	3149
170	4142	3124
171	4165	3099
172	4187	3074
173	4210	3048
174	4233	3024
175	4256	2998
176	4278	2973
177	4301	2948
178	4324	2923
179	4348	2899
180	4371	2874
181	4394	2849
182	4417	2824
183	4439	2798
184	4462	2774
185	4485	2749
186	4509	2724
187	4532	2700
188	4555	2675
189	4579	2651
190	4602	2626
191	4624	2601
192	4648	2576
193	4670	2552
194	4694	2527
195	4717	2503
196	4741	2478
197	4764	2454
198	4787	2429
199	4809	2404
200	4832	2380
201	4855	2355
202	4879	2331
203	4902	2307
204	4925	2282
205	4949	2258
206	4972	2234
207	4995	2209
208	5018	2184
209	5041	2160
210	5064	2136
211	5086	2111
212	5109	2087
213	5132	2062
214	5155	2038
215	5177	2013
216	5200	1989
217	5223	1964
218	5246	1940
219	5268	1915
220	5291	1891
221	5314	1867
222	5337	1843
223	5359	1818
224	5382	1794
225	5405	1770
226	5428	1745
227	5451	1721
228	5473	1697
229	5495	1672
230	5518	1648
231	5542	1624
232	5565	1600
233	5587	1575
234	5610	1551
235	5632	1527
236	5654	1503
237	5677	1479
238	5700	1454
239	5723	1430
240	5746	1406
241	5769	1382
242	5792	1358
243	5814	1334
244	5836	1310
245	5859	1286
246	5887	1263
247	5911	1239
248	5937	1216
249	5963	1192
250	5988	1169
251	6014	1145
252	6039	1121
253	6062	1097
254	6085	1073
255	6108	1049
256	6131	1025
257	6154	1001
258	6177	977
259	6200	953
260	6223	929
261	6246	905
262	6268	881
263	6291	857
264	6315	834
265	6337	810
266	6361	786
267	6384	762
268	6406	738
269	6429	714
270	6452	690
271	6475	666
272	6498	642
273	6522	618
274	6544	594
275	6567	571
276	6589	547
277	6612	523
278	6633	499
279	6656	475
280	6679	451
281	6702	427
282	6725	403
283	6747	380
284	6770	356
285	6792	332
286	6815	308
287	6839	284
288	6862	261
289	6883	237
290	6906	213
291	6929	189
292	6951	166
293	6974	142
294	6997	118
295	7020	94
296	7043	71
297	7065	47
298	7087	23
299	7109	0
